2 3 
1.8544819319729006e-01 1.8544819319729006e-01 2.9632894604711868e-01
3.8912582936793211e-01 8.7580138303749799e-01 3.5183552697644066e-01
8.7580138303749799e-01 3.8912582936793205e-01 3.5183552697644066e-01
